iteration,cumulative_seconds,relative_gap
516,21.5431678295,1.798467908240e-03
517,21.5852913857,1.786620594649e-03
518,21.6282835007,1.772041555386e-03
519,21.6724076271,1.770849307462e-03
520,21.7150666714,1.751709763193e-03
521,21.7648930550,1.766128530510e-03
522,21.8099012375,1.731447238256e-03
523,21.8456048965,1.777588223601e-03
524,21.8910267353,1.758447538612e-03
525,21.9336280823,1.812988314287e-03
526,21.9873020649,1.771846054519e-03
527,22.0242524147,1.701077500570e-03
528,22.0635020733,1.741875740357e-03
529,22.1044192314,1.781948896812e-03
530,22.1375949383,1.747409174833e-03
531,22.1769230366,1.753744785970e-03
532,22.2214293480,1.752833171130e-03
533,22.2572641373,1.717767566002e-03
534,22.2909414768,1.713902471530e-03
535,22.3408312798,1.696712083739e-03
536,22.3755276203,1.750920686751e-03
537,22.4172034264,1.747521309215e-03
538,22.4594228268,1.746213807230e-03
539,22.4947097301,1.719917484602e-03
540,22.5333712101,1.701612443238e-03
541,22.5818202496,1.700082537362e-03
542,22.6217474937,1.736589065784e-03
543,22.6605997086,1.722905641115e-03
544,22.6952857971,1.724790995430e-03
545,22.7361018658,1.710915140629e-03
546,22.7733919621,1.662130639728e-03
547,22.8177926540,1.678078871030e-03
548,22.8598132133,1.715706330318e-03
549,22.8920116425,1.680959945595e-03
550,22.9310667515,1.653390018500e-03
551,22.9676113129,1.627781351230e-03
552,23.0095367432,1.736753448038e-03
553,23.0604074001,1.674412474339e-03
554,23.0998911858,1.642620493487e-03
555,23.1401441097,1.708936745334e-03
556,23.1860988140,1.632678678014e-03
557,23.2303204536,1.667820936532e-03
558,23.2696640491,1.673199478557e-03
559,23.3254652023,1.676063678879e-03
560,23.3679594994,1.652084570131e-03
561,23.4143300056,1.648345355254e-03
562,23.4577267170,1.657659817154e-03
563,23.5075695515,1.645482556507e-03
564,23.5558481216,1.606051892444e-03
565,23.5979363918,1.671870475874e-03
566,23.6458389759,1.654713372153e-03
567,23.6870007515,1.644471266405e-03
568,23.7251157761,1.638524329514e-03
569,23.7561416626,1.583649886877e-03
570,23.7899999619,1.595548472130e-03
571,23.8320012093,1.674344082466e-03
572,23.8721764088,1.623723608149e-03
573,23.9077606201,1.614321385026e-03
574,23.9518017769,1.604318036502e-03
575,24.0002601147,1.602077519115e-03
576,24.0332155228,1.619114052166e-03
577,24.0728020668,1.600597273394e-03
578,24.1064145565,1.606614927216e-03
579,24.1502466202,1.623534187205e-03
580,24.1831557751,1.572970827819e-03
581,24.2282192707,1.598538715905e-03
582,24.2715456486,1.625204104515e-03
583,24.3241016865,1.588136025667e-03
584,24.3837127686,1.598470612790e-03
585,24.4265091419,1.567574273443e-03
586,24.4849336147,1.616755782851e-03
587,24.5323350430,1.604074101580e-03
588,24.5761966705,1.554016577425e-03
589,24.6180412769,1.554696361451e-03
590,24.6586713791,1.573209700206e-03
591,24.6999602318,1.608183935730e-03
592,24.7345616817,1.536349351363e-03
593,24.7734858990,1.582844746085e-03
594,24.8143506050,1.573931006203e-03
595,24.8553967476,1.529908022367e-03
596,24.8967330456,1.581155537193e-03
597,24.9342930317,1.584783999272e-03
598,24.9681487083,1.548956319016e-03
599,25.0028831959,1.527258256242e-03
600,25.0694432259,1.557245821207e-03
601,25.1138179302,1.538310563184e-03
602,25.1648447514,1.538579815294e-03
603,25.2076294422,1.492698230546e-03
604,25.2545201778,1.566073713188e-03
605,25.3111152649,1.549593259444e-03
606,25.3542385101,1.506664843707e-03
607,25.4165019989,1.534900833781e-03
608,25.4651699066,1.532571457498e-03
609,25.5094583035,1.497580612712e-03
610,25.5664100647,1.533629250514e-03
611,25.6134326458,1.516929486421e-03
612,25.6772608757,1.494962733014e-03
613,25.7234611511,1.528335982436e-03
614,25.7796766758,1.515197799324e-03
615,25.8248925209,1.503878055498e-03
616,25.8645443916,1.501721662801e-03
617,25.9144082069,1.465268442131e-03
618,25.9555568695,1.523525937988e-03
619,26.0006191730,1.477434248108e-03
620,26.0415840149,1.439913627209e-03
621,26.0760850906,1.483152575093e-03
622,26.1283504963,1.520778692053e-03
623,26.1632537842,1.493014743747e-03
624,26.1951875687,1.472414368005e-03
625,26.2378098965,1.453818421914e-03
626,26.2805693150,1.510314159755e-03
627,26.3162379265,1.507987824092e-03
628,26.3561694622,1.461507108438e-03
629,26.3999526501,1.448800743537e-03
630,26.4395945072,1.474048084892e-03
631,26.4860908985,1.467505198762e-03
632,26.5240688324,1.485410210782e-03
633,26.5634834766,1.494485714651e-03
634,26.6078474522,1.458437388670e-03
635,26.6513605118,1.430988334601e-03
636,26.6930928230,1.446858054933e-03
637,26.7245891094,1.468838859229e-03
638,26.7603466511,1.525864872264e-03
639,26.7918779850,1.433950403885e-03
640,26.8337373734,1.420177945270e-03
641,26.8691835403,1.451436915151e-03
642,26.9051625729,1.444213659114e-03
643,26.9516885281,1.440094378547e-03
644,26.9819948673,1.445350516604e-03
645,27.0122830868,1.426115722141e-03
646,27.0594217777,1.444991397137e-03
647,27.1019120216,1.421843783981e-03
648,27.1333267689,1.449391213724e-03
649,27.1680853367,1.413836550381e-03
650,27.2062826157,1.433295616669e-03
651,27.2393372059,1.437614510768e-03
652,27.2781715393,1.395898609774e-03
653,27.3238718510,1.438096056357e-03
654,27.3628385067,1.398828826944e-03
655,27.4037544727,1.395740077517e-03
656,27.4364476204,1.430189827806e-03
657,27.4720540047,1.413759448003e-03
658,27.5089817047,1.418735351029e-03
659,27.5521271229,1.428444808856e-03
660,27.5884220600,1.370952335458e-03
661,27.6245560646,1.390225195394e-03
662,27.6715054512,1.414181348636e-03
663,27.7123773098,1.372700322855e-03
664,27.7476367950,1.377349073785e-03
665,27.7903728485,1.418863773771e-03
666,27.8241891861,1.374300021992e-03
667,27.8587429523,1.388953906162e-03
668,27.8988969326,1.346010984043e-03
669,27.9370319843,1.382659374483e-03
670,27.9751346111,1.443655318378e-03
671,28.0199484825,1.363609932843e-03
672,28.0546779633,1.345658800647e-03
673,28.0941052437,1.413281249893e-03
674,28.1396512985,1.384586926619e-03
675,28.1724455357,1.338432105648e-03
676,28.2111477852,1.362250719061e-03
677,28.2476215363,1.396667733530e-03
678,28.2760891914,1.344404173081e-03
679,28.3147988319,1.386823841838e-03
680,28.3580923080,1.397425524318e-03
681,28.3970165253,1.352492570658e-03
682,28.4337751865,1.330354937060e-03
683,28.4758789539,1.380267131226e-03
684,28.5249137878,1.330867910861e-03
685,28.5683188438,1.340615627516e-03
686,28.6143214703,1.356827321655e-03
687,28.6526181698,1.332186136693e-03
688,28.6948480606,1.366411181544e-03
689,28.7493126392,1.327385059888e-03
690,28.7893288136,1.320423967517e-03
691,28.8322398663,1.373891020572e-03
692,28.8791599274,1.330200097204e-03
693,28.9156343937,1.330085711532e-03
694,28.9510145187,1.340338000336e-03
695,28.9985959530,1.351196548137e-03
696,29.0349850655,1.326504134079e-03
697,29.0813324451,1.298689592815e-03
698,29.1105563641,1.337555090772e-03
699,29.1471381187,1.322407794351e-03
700,29.1833317280,1.317708357998e-03
701,29.2209603786,1.341279795375e-03
702,29.2613818645,1.315924182762e-03
703,29.2927060127,1.344834952897e-03
704,29.3411064148,1.319668206476e-03
705,29.3715491295,1.302195583857e-03
706,29.4231498241,1.295975000100e-03
707,29.4724445343,1.295138533145e-03
708,29.5095422268,1.294730132076e-03
709,29.5570216179,1.325839301172e-03
710,29.6015698910,1.301373249378e-03
711,29.6397984028,1.308348056342e-03
712,29.6832542419,1.301842167615e-03
713,29.7204396725,1.295776549770e-03
714,29.7494800091,1.301038136002e-03
715,29.7984137535,1.316098017964e-03
716,29.8393731117,1.270690315345e-03
717,29.8841903210,1.280868107922e-03
718,29.9201562405,1.271399730421e-03
719,29.9578528404,1.266617451843e-03
720,29.9940438271,1.314560901614e-03
721,30.0546741486,1.275936535386e-03
722,30.0977449417,1.281586211222e-03
723,30.1493549347,1.308432318122e-03
724,30.1914846897,1.276125118731e-03
725,30.2351629734,1.260662948136e-03
726,30.2784481049,1.278881325500e-03
727,30.3121531010,1.261487180151e-03
728,30.3848066330,1.250389681547e-03
729,30.4624121189,1.250794959971e-03
730,30.5064246655,1.271257436478e-03
731,30.5418372154,1.270196713680e-03
732,30.5828678608,1.291889879749e-03
