iteration,cumulative_seconds,relative_gap
399,8.6653432846,2.349730060546e-03
400,8.6848733425,2.282283583027e-03
401,8.7085564137,2.211250962588e-03
402,8.7282979488,2.313407159792e-03
403,8.7522110939,2.249325755971e-03
404,8.7721931934,2.341216004764e-03
405,8.7940082550,2.291090787073e-03
406,8.8158528805,2.179430502496e-03
407,8.8345708847,2.216524754553e-03
408,8.8575441837,2.212150639906e-03
409,8.8799269199,2.198239465099e-03
410,8.8990688324,2.241532378067e-03
411,8.9196994305,2.218601960096e-03
412,8.9392509460,2.227861435764e-03
413,8.9617555141,2.249329988169e-03
414,8.9828615189,2.192744446745e-03
415,9.0020842552,2.165156484609e-03
416,9.0212159157,2.222037725996e-03
417,9.0409407616,2.116663633563e-03
418,9.0616939068,2.176308617012e-03
419,9.0871233940,2.226647432573e-03
420,9.1064596176,2.136095263939e-03
421,9.1288149357,2.177018317611e-03
422,9.1501529217,2.156676849741e-03
423,9.1690127850,2.096571496672e-03
424,9.1928627491,2.185142621563e-03
425,9.2184643745,2.227744556231e-03
426,9.2378480434,2.127497130706e-03
427,9.2589550018,2.105521306907e-03
428,9.2788901329,2.139368561118e-03
429,9.2977919579,2.112689701697e-03
430,9.3229374886,2.154797545583e-03
431,9.3446838856,2.044866853340e-03
432,9.3653769493,2.116971892887e-03
433,9.3864734173,2.145676970987e-03
434,9.4052414894,2.068432097754e-03
435,9.4282243252,2.083202374444e-03
436,9.4522483349,2.094839561148e-03
437,9.4709365368,2.065286196220e-03
438,9.4900636673,2.078370442093e-03
439,9.5105280876,2.105645678771e-03
440,9.5316939354,2.079404269879e-03
441,9.5559387207,2.114586080151e-03
442,9.5780003071,2.082341283353e-03
443,9.5983090401,2.043455539342e-03
444,9.6189403534,2.004904854479e-03
445,9.6383900642,2.066515750501e-03
446,9.6595573425,2.065320794109e-03
447,9.6832513809,1.993705605407e-03
448,9.7030606270,2.029495682684e-03
449,9.7220733166,2.009723708936e-03
450,9.7406682968,2.026428685952e-03
451,9.7631132603,2.067993896482e-03
452,9.7864115238,2.007676162656e-03
453,9.8158850670,1.988391421086e-03
454,9.8353955746,2.051567638796e-03
455,9.8555524349,1.981705651313e-03
456,9.8756322861,1.953097009001e-03
457,9.8967905045,2.004073914871e-03
458,9.9203174114,1.959396039003e-03
459,9.9410870075,2.016389297784e-03
460,9.9619145393,1.950479012254e-03
461,9.9817352295,1.924554362384e-03
462,10.0013532639,2.055430306517e-03
463,10.0208683014,1.971181643881e-03
464,10.0446517467,1.910655788938e-03
465,10.0660629272,1.965385904325e-03
466,10.0864417553,1.976392141226e-03
467,10.1061363220,2.009340694088e-03
468,10.1284022331,1.941924074520e-03
469,10.1870748997,1.909842361840e-03
470,10.2254793644,1.978714983829e-03
471,10.2494120598,1.948083484586e-03
472,10.2725610733,1.911885942645e-03
473,10.2942292690,1.936817585429e-03
474,10.3181097507,1.906083713847e-03
475,10.3366153240,1.869811756113e-03
476,10.3581619263,1.905769678521e-03
477,10.3867952824,1.928608295660e-03
478,10.4105799198,1.906466376484e-03
479,10.4335091114,1.876530897805e-03
480,10.4542431831,1.930500888887e-03
481,10.4768104553,1.887020739747e-03
482,10.4993596077,1.860471903191e-03
483,10.5200877190,1.901343059086e-03
484,10.5387837887,1.884802418072e-03
485,10.5586967468,1.857376648818e-03
486,10.5806953907,1.852899820415e-03
487,10.6021902561,1.876932066819e-03
488,10.6274070740,1.904389538604e-03
489,10.6491270065,1.847546107437e-03
490,10.6688468456,1.843752698394e-03
491,10.6910104752,1.836563593456e-03
492,10.7105081081,1.869920415795e-03
493,10.7305974960,1.883859311980e-03
494,10.7586946487,1.808910428154e-03
495,10.7800137997,1.799554745462e-03
496,10.7988450527,1.928794795415e-03
497,10.8201966286,1.829035067270e-03
498,10.8411171436,1.818733298889e-03
499,10.8669714928,1.863461298204e-03
500,10.8872520924,1.818611277577e-03
501,10.9068889618,1.771155540177e-03
502,10.9291124344,1.835892011381e-03
503,10.9503746033,1.830317496907e-03
504,10.9764740467,1.764406203281e-03
505,10.9973838329,1.801482700546e-03
506,11.0181169510,1.812409954356e-03
507,11.0383281708,1.823612797565e-03
508,11.0608694553,1.786691832094e-03
509,11.0818014145,1.783933767929e-03
510,11.1087324619,1.791088739578e-03
511,11.1289670467,1.797119025584e-03
512,11.1497132778,1.756896280312e-03
513,11.1688930988,1.763064497120e-03
514,11.1910912991,1.810403609891e-03
515,11.2224752903,1.772582074470e-03
516,11.2431454659,1.743618738311e-03
517,11.2624471188,1.789813963404e-03
518,11.2848999500,1.736840150359e-03
519,11.3031272888,1.734203357347e-03
520,11.3249943256,1.784663814828e-03
521,11.3460392952,1.737986352645e-03
522,11.3641188145,1.740681050904e-03
523,11.3846752644,1.745223280427e-03
524,11.4050409794,1.718558529895e-03
525,11.4260592461,1.730337919019e-03
526,11.4507801533,1.702256028871e-03
527,11.4687829018,1.684895508472e-03
528,11.4882793427,1.678236665481e-03
529,11.5155973434,1.818844788525e-03
530,11.5475008488,1.726981145640e-03
531,11.7092463970,1.685375104376e-03
532,11.7644867897,1.701623464886e-03
533,11.8183281422,1.748938660347e-03
534,11.8559298515,1.711196655760e-03
535,11.8996682167,1.685958780579e-03
536,11.9345068932,1.691675549320e-03
537,11.9694149494,1.690508611501e-03
538,12.0011844635,1.722848245103e-03
539,12.0379333496,1.679467705616e-03
540,12.0687227249,1.647143991791e-03
541,12.1039102077,1.698258137071e-03
542,12.1552126408,1.681044677700e-03
543,12.2161002159,1.719594062522e-03
544,12.2477252483,1.702126381079e-03
545,12.2951867580,1.630307476574e-03
546,12.3409578800,1.631621507502e-03
547,12.3976180553,1.669399954166e-03
548,12.4394450188,1.660100336499e-03
549,12.4924371243,1.608100018321e-03
550,12.5389993191,1.662215793626e-03
551,12.5808534622,1.649001174052e-03
552,12.6290481091,1.617240018811e-03
553,12.6746098995,1.660433802004e-03
554,12.7171142101,1.637766625597e-03
555,12.7601151466,1.659254904890e-03
556,12.7997429371,1.650156832855e-03
557,12.8380081654,1.639164713860e-03
558,12.8854413033,1.593570815346e-03
559,12.9202611446,1.646679965593e-03
560,12.9739992619,1.603813897666e-03
561,13.0251040459,1.651055672478e-03
562,13.0775434971,1.617597185660e-03
563,13.1228790283,1.588467336681e-03
564,13.1650190353,1.614598264400e-03
565,13.2041590214,1.637239188079e-03
566,13.2535767555,1.592407319912e-03
567,13.2916424274,1.593749348981e-03
568,13.3239402771,1.597016031039e-03
569,13.3781068325,1.570956194389e-03
570,13.4224479198,1.609762522150e-03
571,13.4667646885,1.631215360431e-03
572,13.5269985199,1.578040638576e-03
573,13.5872390270,1.602963009053e-03
574,13.6371047497,1.571206310452e-03
575,13.6884210110,1.573401097774e-03
576,13.7319955826,1.598294771760e-03
577,13.7686336040,1.593211829959e-03
578,13.8100063801,1.573102122784e-03
579,13.8516554832,1.578403357015e-03
580,13.8931427002,1.554788895426e-03
581,13.9512543678,1.582003002002e-03
582,13.9899220467,1.589175066513e-03
583,14.0378797054,1.581360159132e-03
584,14.0952546597,1.558761477805e-03
585,14.1354777813,1.568422248999e-03
586,14.1749019623,1.547013146003e-03
587,14.2202897072,1.540418981919e-03
588,14.2632608414,1.586545852239e-03
589,14.2959954739,1.533812359533e-03
590,14.3399302959,1.552131618489e-03
591,14.3774394989,1.543748089500e-03
592,14.4269561768,1.522873837453e-03
593,14.4728403091,1.548108498958e-03
594,14.5138881207,1.541130227933e-03
595,14.5581634045,1.541660020633e-03
596,14.5953094959,1.519966728516e-03
597,14.6427555084,1.532446528179e-03
